Running script...
Total steps: 10000000
Num levels: 100
Game: jumper
Model: 1
Augmentation mode: 5
nr_features: 512
P_10_100_jumper_1_5_512
Step: 344064	(23.252492904663086,13.487244606018066)
Step: 688128	(31.625530242919922,16.276094436645508)
Step: 1032192	(33.764320373535156,20.465185165405273)
Step: 1376256	(51.39402389526367,14.908113479614258)
Step: 1720320	(54.53965759277344,18.473421096801758)
Step: 2064384	(65.77558898925781,18.71531105041504)
Step: 2408448	(49.8780632019043,19.538516998291016)
Step: 2752512	(46.05928039550781,12.439476013183594)
Step: 3096576	(57.010135650634766,13.672054290771484)
Step: 3440640	(72.54167938232422,16.819578170776367)
Step: 3784704	(61.035797119140625,16.408397674560547)
Step: 4128768	(90.17092895507812,20.97629737854004)
Step: 4472832	(88.34195709228516,17.321125030517578)
Step: 4816896	(66.77957916259766,17.157079696655273)
Step: 5160960	(59.089324951171875,14.91012191772461)
Step: 5505024	(57.82231140136719,17.124019622802734)
Step: 5849088	(53.267642974853516,14.729766845703125)
Done...
