Running script...
Total steps: 10000000
Num levels: 1000
Game: jumper
Model: 1
Augmentation mode: 5
nr_features: 512
P_10_1000_jumper_1_5_512
Step: 344064	(16.87714195251465,14.534214973449707)
Step: 688128	(53.566246032714844,26.2380313873291)
Step: 1032192	(59.21392059326172,27.49707794189453)
Step: 1376256	(50.164554595947266,22.287513732910156)
Step: 1720320	(47.54751968383789,18.487760543823242)
Step: 2064384	(63.73193359375,25.028202056884766)
Step: 2408448	(68.53182983398438,25.9827880859375)
Step: 2752512	(60.65683364868164,26.54823112487793)
Step: 3096576	(64.80565643310547,28.460193634033203)
Step: 3440640	(63.12049865722656,23.84171485900879)
Step: 3784704	(50.06452178955078,30.304798126220703)
Step: 4128768	(65.36738586425781,29.57792854309082)
Step: 4472832	(37.858970642089844,31.64470672607422)
Step: 4816896	(78.22575378417969,26.99795150756836)
Step: 5160960	(60.654537200927734,22.302148818969727)
Step: 5505024	(68.53266906738281,29.082427978515625)
Step: 5849088	(73.7890853881836,33.40618896484375)
Done...
